,1,2-3,4-10,11-25,CM,MC-WD-DNF,
Andrew Loupe,0,0,0,0,0,2.5,
Zach Cabra,0,0,0,0,0,0.5,
Camilo Villegas,0,0,0,0,2,3.5,
JJ Wood,0,0,0,0,0,0.5,
Curtis Luck,0,0,0,0,1,0,
Collin Morikawa(Am),0,0,0,0,1,0,
Paul Goydos,0,0,0,0,1,0,
Robert Gamez,0,0,0,0,0,1,
Donny Lee,0,0,0,0,0,1,
Jimmy Stanger,0,0,0,0,0,1,
Jack Maguire,0,0,0,0,0,1,
Rod Perry,0,0,0,0,0,1,
Morgan Hoffmann,0,0,0,0,1,2,
Andrew Novak,0,0,0,0,1,0,
Jhared Hack,0,0,0,0,0,1,
Andrew Filbert,0,0,0,0,0,1,
Richard H. Lee,0,0,0,0,0,2,
Seunghyuk Kim,0,0,0,0,0,1,
Vinnie Poncino,0,0,0,0,0,1,
Jim Herman,0,0,0,0,0,2,
Jerry Kelly,0,0,0,0,0,1,
Peter Jacobsen,0,0,0,0,0,1,
David Solomon,0,0,0,0,0,1,
Wyndham Clark,0,0,0,0,0,1,
Jesse Mueller,0,0,0,0,0,1,
