,1,2-3,4-10,11-25,CM,MC-WD-DNF,
Doug Ghim,0,0,0,1,2,4,
Shawn Stefani,0,0,0,2.5,3,6.5,
Peter Malnati,0,0,0,1,8.5,4.5,
Patrick Rodgers,0,0,3,1,9,5.5,
Sergio Garcia,0,0,3.5,1,3.5,10,
Jonathan Byrd,0,0,0,1,3.5,6.5,
Aaron Baddeley,0,0,0,4,6.5,5,
Cameron Percy,0,0,0,0,4.5,2,
Johnson Wagner,0,0,0,2,5,1,
Joaquin Niemann,0,0,2.5,1,4,5,
Matthew Fitzpatrick,0,0,0.5,4,8,7,
Jonas Blixt,0,0,0,1,3,10.5,
Denny McCarthy,0,0,0,1,6,2,
Dylan Meyer,0,0,0,2,3,2,
Billy Hurley III,0,0,0,0,3.5,11,
Julian Suri,0,0,0.5,2,7.5,2,
Blayne Barber,0,0,0,1,5.5,7,
Corey Conners,0,0,1,1,6.5,4.5,
Sangmoon Bae,0,0,0,1,3,5,
Bill Haas,0,0,1,1,7.5,8,
Roberto Diaz,0,0,0,0,4,6,
Lanto Griffin,0,0,0,0,4.5,7.5,
Graeme McDowell,0,0,0,2.5,7,6,
Martin Flores,0,0,0,1,8,6.5,
Hudson Swafford,0,0,0,1,5,6,
Mackenzie Hughes,0,0,1,1.5,7.5,8.5,
Conrad Shindler,0,0,0,0,4,4.5,
Stephan Jaeger,0,0,0,0,4.5,6.5,
Zhang Xinjun,0,0,0,0,3,10,
Ricky Barnes,0,0,0,1,3,3.5,
Jason Bohn,0,0,0,0,1,2,
Arjun Atwal,0,0,0,0,1,1,
Ernie Els,0,0,0,0,2.5,11.5,
Stuart Appleby,0,0,0,1,1,4.5,
Tyrone van Aswegen,0,0,0,2,9.5,6,
Martin Piller,0,0,0,1.5,4,9.5,
Shane Lowry,0,0,0,4,9.5,7,
Nicholas Lindheim,0,0,0,0.5,4,7.5,
T.J. Vogel,0,0,0,1,2,3.5,
Marty Dou Zecheng,0,0,0,0,2,7.5,
Will Zalatoris,0,0,0,0,1,5,
Michael DeMorat,0,0,0,0,2,1,
Norman Xiong,0,0,0,0,0,3.5,
Ben Crane,0,0,1,0,2.5,5.5,
Davis Love III,0,0,0,0,2,6,
Steve Stricker,0,0,0,5.5,5,1.5,
David Lingmerth,0,0,0,1.5,7,6.5,
Andrew Yun,0,0,0,0,0,7.5,
Talor Gooch,0,0,0,2.5,1,10.5,
Dominic Bozzelli,0,0,0,2,7.5,6,
Fabian Gomez,0,0,0,2,6,6,
Matt Jones,0,0,0,3,1.5,7.5,
Zac Blair,0,0,0,0,3.5,3,
Benjamin Silverman,0,0,0,1,6,7,
Cody Gribble,0,0,0,0,5.5,8,
Robert Garrigus,0,0,0,3.5,3,8,
Ken Duke,0,0,0,0,2,5.5,
J.J. Henry,0,0,0,1.5,5.5,8.5,
Chad Campbell,0,0,1,0,7,6.5,
Shane Bertsch,0,0,0,0,0,2,
Tommy Gainey,0,0,0,0,1,3.5,
Stewart Jolly,0,0,0,0,0,1,
George McNeill,0,0,0,0,1.5,4,
Kris Blanks,0,0,0,0,1,3,
Padraig Harrington,0,0,0,0,3.5,12.5,
Brian Davis,0,0,0,0,1,3.5,
Steve Wheatcroft,0,0,0,1,3.5,3,
Parker McLachlin,0,0,0,1,2,3.5,
Doc Redman,0,0,0,0,2,4,
Hunter Mahan,0,0,0,0,2.5,7,
Rod Pampling,0,0,0,0,6,6,
Jonathan Randolph,0,0,0,0,5.5,6.5,
Carl Pettersson,0,0,0,0,0,5,
Kyle Thompson,0,0,0,0,1,7.5,
Retief Goosen,0,0,1,0,1,9.5,
Cameron Tringale,0,0,0,0,3,9,
Adam Schenk,0,0,0,1,4.5,7.5,
Matt Every,0,0,0.5,0,4,10.5,
Rob Oppenheim,0,0,0,0,3,8,
Brendon de Jonge,0,0,0,0,1,5.5,
Robert Streb,0,0,0,0.5,4,14,
Daniel Summerhays,0,0,0,0,1,6.5,
Ethan Tracy,0,0,0,1,2.5,5.5,
Matt Atkins,0,0,0,0,2,5.5,
Wesley Bryan,0,0,0,1,4.5,9.5,
Andres Romero,0,0,1,0,1,1.5,
Derek Fathauer,0,0,0,4,4,7.5,
Dicky Pride,0,0,0,0,0,4.5,
John Merrick,0,0,0,1,0,4.5,
James Driscoll,0,0,0,0,1,1,
Charles Frost,0,0,0,0,0,2,
Tom Lovelady,0,0,0,1,5.5,6.5,
Chris Stroud,0,0,0,0,8.5,7,
Thomas Pieters,0,0,3,1,7,2.5,
Brandon Stone,1,0,0,2,6,0,
Matt Wallace,0,0,0,2.5,0,6,
Ryan Fox,0,1,1,0,6.5,0,
Dylan Frittelli,0,0,0,3,5.5,8,
Sungjae Im,0,0,0,0,2,2,
Ben Kern,0,0,0,0,2,0,
Martin Kaymer,0,0,0,0,7,8.5,
Seungsu Han,0,0,0,0,2.5,0,
Thorbjorn Olesen,0,1,1,2,2.5,2,
Eddie Pepperell,0,1,2,0,2.5,1,
Ross Fisher,0,0,0.5,1,11,5,
Mike Lorenzo-Vera,0,0,0,0,2.5,2,
Yuta Ikeda,0,0,0,0,7.5,3.5,
Adrian Otaegui,0,0,0,0,3,1.5,
Vijay Singh,0,0,0,0,6.5,3,
Shugo Imahira,0,0,0,0,0,2,
Justin Harding,0,0,0,0,0,2,
Shaun Micheel,0,0,0,0,0,2,
Jordan L Smith,0,0,0,0,1,5.5,
Mikko Korhonen,0,0,0,0.5,0,3,
Sean McCarty,0,0,0,0,1,2,
Rich Beem,0,0,0,0,0,2,
John Daly,0,0,0,0,0,3.5,
Shubhankar Sharma,0,0,1.5,1,4,9.5,
Alexander Levy,0,0,0,0,2.5,8.5,
Paul Broadhurst,0,0,0,0,0,2,
